Amplitude (Max-Offset) (mean),Amp. rel. (Max-Offset) Filtering (min),Amp. rel. (Max-Offset) Filtering (max),Amp. rel. (Max-Offset) Filtering (mean),Frequency (Max) (mean),Frequency (Max) Filtering (mean),Open speed (mean),Close speed (mean),Speed (min),Speed (max),Speed (mean),Acceleration (mean),Amp.decline (linear regres),Freq.decline (linear regres)
80.6541,0.8779,0.9709,0.9284,3.3696,3.4488,0.2561,0.2486,-2.4945,2.1723,0.5198,27.3268,8.627,-0.041
74.7539,0.793,0.9593,0.8917,3.7835,3.8521,0.268,0.2667,-2.5394,2.0928,0.5469,28.2467,-5.893,0.637
73.6977,0.7963,0.9565,0.8926,3.5144,3.5885,0.2419,0.2417,-2.1824,1.976,0.4972,23.7132,8.129,0.084
64.4734,0.5975,0.8836,0.7423,4.3673,4.5023,0.2489,0.2451,-2.8538,2.2465,0.5152,33.3122,-1.031,0.138
76.0374,0.82,0.9544,0.8707,4.2391,4.3454,0.2926,0.2901,-2.7968,2.8029,0.602,37.1674,-9.786,1.400
72.0243,0.4655,0.9146,0.8341,3.8731,3.9953,0.2692,0.2667,-2.8794,2.6719,0.5622,36.6938,-23.889,0.314
64.9959,0.6959,0.9019,0.7777,3.9517,4.004,0.2081,0.207,-2.1556,1.6049,0.4317,19.6749,14.035,0.141
54.5684,0.5609,0.9041,0.7329,4.4711,4.4944,0.2018,0.197,-2.2276,2.0411,0.4114,19.0637,25.186,0.172
56.237,0.6085,0.8627,0.7468,4.4728,4.524,0.2048,0.2043,-1.9619,1.5774,0.4169,18.3869,-18.167,0.380
61.5223,0.7534,0.8674,0.8168,4.4541,4.5625,0.2224,0.2208,-2.275,2.0959,0.456,22.3018,-7.421,0.625
78.2589,0.8218,0.9462,0.9036,3.2407,3.3285,0.2066,0.198,-1.7523,1.327,0.4291,20.1484,-1.467,0.486
68.1094,0.678,0.867,0.7729,4.5762,4.6522,0.2838,0.2796,-2.1632,2.2127,0.5775,27.8965,14.960,0.135
62.0774,0.7126,0.9036,0.8205,4.8703,4.9469,0.2735,0.2674,-1.9662,1.8281,0.5524,27.1624,-1.790,0.228
59.4503,0.64,0.8105,0.7155,4.5479,4.6196,0.2353,0.2348,-1.7182,1.7862,0.4854,21.1984,15.670,-0.008
70.4731,0.5478,0.9616,0.8158,4.2604,4.3564,0.2696,0.2719,-2.9942,1.8313,0.5659,31.4833,28.118,-0.581
66.5253,0.6356,0.929,0.7852,4.0926,4.2325,0.2439,0.2464,-2.5974,1.9378,0.5053,26.1922,30.606,0.377
54.2252,0.4796,0.9553,0.6466,4.3011,4.4085,0.2163,0.2109,-2.3872,1.9429,0.4421,21.971,35.195,-0.142
71.7663,0.8089,0.9013,0.8474,4.2553,4.325,0.2788,0.2787,-2.1092,1.9242,0.5667,26.7055,4.684,1.017
32.2324,0.4381,0.6726,0.5298,3.9979,4.1245,0.0979,0.0977,-1.8643,0.8912,0.2089,10.2333,-0.363,0.280
34.4029,0.4816,0.7708,0.6123,4.661,4.7407,0.1428,0.1459,-2.1679,1.5606,0.3044,18.6607,7.486,0.039
40.3712,0.5634,0.8483,0.6567,4.4039,4.4855,0.1582,0.1573,-2.5724,1.2276,0.333,19.2521,-8.796,0.424
67.8203,0.7952,0.8624,0.8304,3.7946,3.8366,0.2199,0.2141,-2.2246,2.0907,0.4506,22.2734,-0.419,0.189
64.1916,0.8166,0.9585,0.8973,3.5676,3.5727,0.1949,0.1943,-2.0405,1.3124,0.4001,16.9009,12.634,-0.164
66.2618,0.6651,0.9025,0.841,3.2461,3.3168,0.1794,0.1774,-1.8866,1.3435,0.3669,16.8168,11.141,0.303
78.4351,0.9188,0.951,0.9352,3.0189,3.1061,0.2013,0.2007,-2.2365,1.8311,0.4185,18.6203,0.383,0.731
77.7232,0.8536,0.9055,0.8765,3.3298,3.4224,0.215,0.2093,-2.4771,1.5409,0.4342,16.8271,3.544,0.348
68.253,0.8373,0.9421,0.8666,2.8617,2.8971,0.1742,0.1732,-1.9375,1.689,0.3577,15.8549,5.670,0.095
71.1952,0.8584,0.9245,0.8963,2.967,3.0373,0.2,0.1933,-2.2044,2.1037,0.4128,21.171,0.373,0.0521995088754408
67.4452,0.8431,0.9356,0.9069,3.139,3.1612,0.1834,0.1835,-2.1165,1.5047,0.3767,17.6336,-2.365,-0.266
60.5705,0.6119,0.9476,0.7658,2.6287,2.763,0.1312,0.1318,-1.6963,1.6092,0.276,12.4229,28.931,-1.090
64.1604,0.7488,0.8879,0.8321,3.1284,3.2085,0.1496,0.1475,-1.4448,1.6809,0.313,16.6396,-8.246,0.612
67.7749,0.7203,0.9612,0.8495,2.764,3.0086,0.1646,0.1561,-1.5027,1.6594,0.3337,14.5698,-1.566,-0.099
70.2195,0.8214,0.9439,0.8943,3.0753,3.3397,0.2015,0.1864,-1.6465,1.7381,0.3992,18.6871,-2.085,-0.116
76.6331,0.838,0.9447,0.8913,2.3232,2.3441,0.1557,0.1556,-1.9502,1.0846,0.3191,12.3429,1.733,0.198
76.5683,0.8988,0.9393,0.9177,2.8971,2.9202,0.2091,0.2016,-2.422,1.5305,0.413,18.9224,0.898,0.198
62.7849,0.5827,0.9422,0.8339,2.9645,2.9866,0.1656,0.1661,-1.9385,1.4283,0.3476,13.038,23.616,0.278
75.0094,0.9232,0.9804,0.9578,2.8183,2.8424,0.1973,0.1964,-2.0177,1.4575,0.3955,17.607,-1.321,-0.087
73.7288,0.8993,0.943,0.9187,3.2041,3.2329,0.2252,0.2224,-2.0522,1.4255,0.4622,17.6277,0.736,0.198
66.3201,0.7532,0.9401,0.8658,3.3708,3.3967,0.2143,0.2118,-1.7096,1.5392,0.4418,16.9249,6.650,-0.014
89.7777,0.7957,0.9681,0.9313,3.2,3.273,0.2746,0.2642,-3.7436,2.825,0.5627,35.8385,-11.894,0.128
82.2701,0.6156,0.9624,0.917,3.3315,3.341,0.254,0.245,-3.0228,2.4167,0.5108,30.8031,-14.886,0.468
84.7402,0.8711,0.9904,0.974,3.147,3.1505,0.2497,0.2426,-3.0886,2.6902,0.5141,32.4809,1.165,0.376
94.5666,0.9184,0.9876,0.9632,2.9365,3.1138,0.2699,0.2595,-3.0021,2.9792,0.5579,34.6138,-7.218,-0.701
90.2518,0.9256,0.9721,0.9499,3.1315,3.1774,0.2768,0.2669,-3.0697,2.4107,0.5686,31.0912,-0.250,-0.080
70.4775,0.4301,0.8924,0.759,3.2787,3.3281,0.2127,0.212,-3.0515,1.9667,0.4387,20.353,24.059,-0.060
90.5585,0.8571,0.9675,0.9364,3.2103,3.2323,0.2744,0.2669,-3.1412,1.8723,0.5562,27.6047,3.914,0.127
79.7313,0.8358,0.9581,0.9082,2.103,2.4878,0.1461,0.1483,-2.2446,1.3981,0.3081,13.4506,8.110,0.445
62.389,0.6206,0.9239,0.7661,3.2512,3.3234,0.1793,0.1813,-2.5619,1.7191,0.3703,14.8328,19.800,0.221
72.0593,0.8156,0.9787,0.9115,2.811,2.8815,0.189,0.1889,-2.2701,1.5992,0.3873,16.3584,12.667,0.430
57.9237,0.7043,0.9185,0.793,3.6823,3.8058,0.1812,0.1766,-2.0662,1.6647,0.3784,20.759,15.294,0.373
61.6004,0.724,0.9396,0.8331,4.1393,4.6229,0.2129,0.2162,-2.228,1.8364,0.4463,24.5238,4.197,0.282
62.5417,0.8409,0.916,0.886,4.4118,4.6022,0.1989,0.1944,-1.9313,1.4969,0.4018,20.5522,3.350,-0.342
76.8989,0.9221,0.9644,0.9383,3.0488,3.0467,0.2109,0.2124,-2.1282,2.0305,0.4372,22.8165,2.530,0.191
86.4191,0.9365,0.9762,0.9533,3.1681,3.1773,0.2413,0.2407,-2.5819,1.9218,0.4925,25.2802,0.285,0.091
71.7206,0.9066,0.953,0.924,3.2787,3.3128,0.2203,0.2238,-2.2376,1.9547,0.4667,24.6313,0.267,0.281
87.3572,0.9323,0.986,0.9631,2.7268,2.7284,0.1843,0.1714,-1.8444,1.9283,0.3738,15.6192,-3.885,-0.008
83.7654,0.9532,0.9815,0.9675,3.4232,3.4424,0.2509,0.2496,-2.8996,2.4233,0.5126,28.0455,0.782,-0.089
87.9962,0.9117,0.9779,0.9402,3.9979,4.0101,0.3248,0.3233,-2.9173,2.4985,0.6692,40.0988,4.960,0.145
82.5662,0.9228,0.9717,0.9463,3.9574,3.9479,0.3103,0.3103,-2.5883,2.4887,0.6304,38.2603,2.203,0.171
87.9346,0.9153,0.9817,0.9446,4.1173,4.2266,0.3445,0.335,-2.8779,2.4203,0.6908,38.9328,0.786,-0.188
88.708,0.894,0.9655,0.9228,4.5667,4.573,0.3688,0.3601,-2.5193,2.7628,0.7442,45.8334,-0.117,-0.033
93.6392,0.9175,0.9859,0.9518,4.3344,4.3498,0.3731,0.3722,-2.8954,2.6769,0.7729,44.321,7.060,0.166
93.7821,0.8857,0.9776,0.936,4.2553,4.263,0.3785,0.3706,-2.8634,2.7356,0.7689,44.0872,8.629,-0.029
41.0463,0.3593,0.6888,0.5031,6.0254,7.0005,0.1843,0.1853,-2.4765,1.9479,0.3897,24.9844,19.665,1.936
41.5834,0.4611,0.6417,0.5493,7.3801,8.4944,0.2253,0.225,-2.2888,2.2354,0.4665,33.2817,16.626,-0.549
79.7382,0.831,0.9776,0.9375,3.3387,3.3731,0.2396,0.231,-2.6659,2.0048,0.4879,27.1502,3.196,-0.221
58.8605,0.6074,0.9116,0.7537,3.6438,3.6624,65535,0.188,-2.3618,1.6604,0.38901,20.0376,16.924,0.018
48.8774,0.6022,0.7355,0.6735,4.5254,4.7893,0.1791,0.1714,-2.0155,1.6093,0.3673,20.0481,-1.604,-0.493
60.1144,0.7465,0.9535,0.8716,4.7544,5.1775,0.1981,0.1949,-2.3699,2.092,0.4096,23.8997,9.382,2.047
62.0821,0.5682,0.8971,0.793,3.7604,4.1245,0.1933,0.1883,-1.536,2.1683,0.3966,20.158,16.734,0.527
76.5143,0.9098,0.9731,0.9427,3.212,3.2596,0.2199,0.2105,-2.1885,2.1042,0.4431,23.3148,4.876,0.033
72.9217,0.823,0.8629,0.8455,3.8196,3.9392,0.2281,0.2199,-2.2745,2.1128,0.4668,25.5932,0.272,0.242
80.412,0.8831,0.984,0.9168,3.6717,3.7187,0.2405,0.2413,-2.701,1.6456,0.4924,25.2054,7.264,-0.353
74.9102,0.8513,0.9653,0.9044,3.8582,3.9129,0.2474,0.2461,-2.0233,1.6206,0.5038,22.26,8.004,-0.132
76.7167,0.9062,0.9858,0.9401,3.7995,3.822,0.2658,0.2656,-2.4106,1.574,0.548,26.3958,6.952,-0.039
20.5933,0.3989,0.6069,0.4761,5.5802,5.8027,0.0693,0.0707,-1.1851,0.8373,0.149,8.7701,1.099,1.997
56.3089,0.4241,0.9137,0.7239,4.5479,4.5958,0.2237,0.2221,-2.7427,2.1847,0.4588,27.3654,40.286,-0.034
37.021,0.3182,0.7529,0.4866,4.3135,4.6135,0.138,0.1402,-2.4993,1.7414,0.296,17.7343,13.701,-0.159
48.0274,0.3776,0.8758,0.5897,4.1712,4.265,0.1742,0.1726,-2.8718,2.2027,0.3646,22.6933,48.661,0.330
26.8731,0.3185,0.5492,0.4118,4.3827,4.7084,0.0964,0.0975,-2.2725,1.3367,0.2067,11.41,9.495,-2.011
77.3979,0.7332,0.9797,0.8995,3.7017,3.723,0.2638,0.2628,-2.9412,1.6977,0.5402,28.2764,12.015,0.515
73.8032,0.83,0.9515,0.9005,3.6539,3.7001,0.2462,0.2458,-2.7378,1.9199,0.5047,26.9669,-0.908,0.654
58.9514,0.6298,0.9116,0.7715,4.3573,4.4219,0.2404,0.2256,-2.1159,2.3086,0.4897,28.8906,25.457,0.205
64.6564,0.8199,0.9309,0.8711,4.3337,4.381,0.2599,0.2464,-2.1224,2.0178,0.5234,29.6747,-1.243,1.230
68.5662,0.8425,0.9206,0.8792,4.2094,4.2828,0.2696,0.259,-2.5327,2.2488,0.5469,32.5918,-0.168,1.295
67.48,0.6631,0.934,0.7663,3.4847,4.0437,0.1971,0.1884,-1.7608,1.507,0.4055,18.6977,15.041,1.196
60.5185,0.7283,0.917,0.8505,3.0871,3.1411,0.1687,0.1629,-1.6448,1.0955,0.3483,12.7616,10.378,-0.227
63.5494,0.4461,0.9606,0.737,2.8246,2.8818,0.1643,0.1594,-1.6327,1.6002,0.3379,13.4967,48.241,-0.487
59.3378,0.7672,0.9092,0.8481,3.6598,3.7306,0.198,0.1923,-1.3552,1.5116,0.3977,16.4317,2.294,-0.432
56.2297,0.6805,0.8172,0.73,3.6045,4.3577,0.1161,0.1099,-1.9885,1.3487,0.2363,10.419,8.698,0.358
79.9933,0.9294,0.9703,0.9486,2.0247,2.052,0.1182,0.1167,-1.7944,1.6565,0.2494,10.0045,0.571,-0.264
55.8902,0.7929,0.9507,0.8982,2.4513,2.4738,0.1036,0.0988,-0.8815,0.9679,0.2108,6.5501,8.926,-0.312
59.2592,0.8985,0.9734,0.9287,2.6667,2.7263,0.1198,0.1149,-1.0392,1.1542,0.2418,7.4807,4.168,-0.187
29.8044,0.3225,0.7716,0.4834,2.4905,2.4878,0.061,0.0619,-1.1213,0.9863,0.1342,4.625,9.319,0.482
30.0049,0.2798,0.7585,0.4518,2.8096,3.3023,0.0675,0.0682,-0.9586,0.9395,0.1481,4.8533,3.613,2.274
30.7115,0.362,0.7661,0.5658,2.2388,2.572,0.0632,0.0622,-1.7129,1.2525,0.1453,6.0428,9.124,1.580
44.0942,0.3896,0.8383,0.5944,2.7297,2.8631,0.1064,0.1065,-1.8074,1.1068,0.2244,9.1739,9.963,1.012
65.9686,0.5699,0.9382,0.7235,4.6612,4.7571,0.2838,0.2817,-3.0836,2.6754,0.5847,34.0198,35.514,-0.126
68.9878,0.7328,0.9703,0.8232,4.7898,4.8234,0.2997,0.2942,-2.6527,2.2665,0.6133,31.5161,16.900,0.788
64.1409,0.5941,0.8761,0.7198,4.7219,4.8151,0.2753,0.2784,-2.6287,2.3758,0.5712,30.8502,15.685,0.491
64.0185,0.6632,0.9255,0.741,5.2411,5.3123,0.2705,0.2695,-2.1578,2.6081,0.5531,25.0124,20.183,0.771
49.7587,0.4705,0.8302,0.6115,4.0469,4.151,0.1722,0.1677,-2.4641,2.1282,0.3497,15.7932,19.438,-0.063
59.8792,0.5278,0.9553,0.772,3.9366,4.0224,0.1955,0.1912,-2.5116,2.1181,0.3999,22.0644,40.967,0.275
61.9681,0.7089,0.8484,0.7624,3.9933,4.0274,0.218,0.2098,-2.5362,1.9412,0.4444,24.3091,6.193,0.171
80.3479,0.8016,0.9825,0.9066,3.6464,3.7351,0.2687,0.2616,-3.086,2.6122,0.5617,36.8256,17.687,-1.032
74.7705,0.6814,0.9773,0.867,3.6325,3.7165,0.2558,0.2559,-3.1639,2.5734,0.5345,34.0532,7.658,-0.353
63.242,0.3277,0.9798,0.7514,3.8023,3.8573,0.2221,0.2269,-3.2309,2.6266,0.4697,30.4263,58.674,-0.091
